Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Resultado Primário (Cidadã);Despesa empenhada;Despesa liquidada;Despesa paga;Despesa liq&RP;Despesa empenhada a liquidar;Crédito Disponível
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;Emenda de Bancada;;;;3591441,13;;
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;Emenda de Comissão;;;;6901660,71;;
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;Emenda Individual;525260,00;8400,00;;933307,67;516860,00;2229406,00
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;Financeiro;91301573,00;41902196,63;41902196,63;41902196,63;49399376,37;
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;Obrigatório;606521742,38;291424532,26;284949423,68;291712076,31;315097210,12;1530403,62
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Discricionário;103444092,80;39368368,16;36948413,24;73253090,47;64075724,64;29964323,70
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Emenda de Bancada;1091292,86;;;142132,41;1091292,86;2836028,14
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Emenda de Comissão;;;;6606806,15;;
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Emenda Individual;22400,00;;;12001123,52;22400,00;777600,00
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Financeiro;54263987,38;54214740,10;54214740,10;54219718,12;49247,28;62971690,62
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Obrigatório;364722451,19;363796365,91;347126123,80;364279999,30;926085,28;412556457,81
2024;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;Recurso do PAC;6645449,34;85175,34;;85175,34;6560274,00;3115195,73
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Discricionário;98598587,65;41579368,79;37441302,18;110427263,42;57019218,86;27288128,73
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Emenda de Bancada;;;;1868167,04;;5000000,00
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Emenda de Comissão;;;;2333333,00;;
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Emenda Individual;2037007,88;1082104,68;806298,11;3410877,01;954903,20;3562992,12
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Financeiro;98773075,00;45380490,64;45380490,64;45380490,64;53392584,36;
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Obrigatório;635568825,00;304622788,18;291265662,10;305683812,14;330946036,82;1702728,00
2024;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;Recurso do PAC;19715011,92;2342880,19;2292875,75;2342880,19;17372131,73;
2024;Nordeste;MA;Maranhão;Universidades Federais;UFMA - COLUN;Colégio Universitário da UFMA;Discricionário;18945946,90;11093341,25;10614098,93;15177449,22;7852605,65;1642305,62
2024;Nordeste;MA;Maranhão;Universidades Federais;UFMA - COLUN;Colégio Universitário da UFMA;Emenda de Comissão;;;;100264,65;;
2024;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;Discricionário;49887872,73;19214430,88;17422745,32;37258005,39;30673441,85;30391859,38
2024;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;Emenda de Bancada;5131089,41;8238,72;202,21;4130642,88;5122850,69;9668910,59
2024;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;Emenda de Comissão;;;;112824,73;;
2024;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;Emenda Individual;200000,00;;;315996,27;200000,00;2310000,00
2024;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;Financeiro;68973045,42;38382452,96;38382452,96;38382452,96;30590592,46;13998394,58
2024;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;Obrigatório;401020410,72;267657714,81;255156125,72;268174401,59;133362695,91;178334204,28
2024;Nordeste;PB;Paraíba;Universidades Federais;UFCG - ETSC;Escola Técnica de Saúde de Cajazeiras da UFCG;Discricionário;3550083,65;3095627,85;2963247,49;3126486,07;454455,80;1709675,79
2024;Nordeste;PB;Paraíba;Universidades Federais;UFCG - ETSC;Escola Técnica de Saúde de Cajazeiras da UFCG;Emenda de Comissão;;;;995853,00;;
2024;Nordeste;PB;Paraíba;Universidades Federais;UFPB - CAVN;Colégio Agrícola Vidal de Negreiros da UFPB;Discricionário;15953999,92;9262298,08;8863591,24;10325805,73;6691701,84;385977,85
2024;Nordeste;PB;Paraíba;Universidades Federais;UFPB - CAVN;Colégio Agrícola Vidal de Negreiros da UFPB;Emenda de Comissão;;;;249699,00;;
2024;Nordeste;PB;Paraíba;Universidades Federais;UFPB - ETS;Escola Técnica de Saúde da UFPB;Discricionário;15953999,92;9262298,08;8863591,24;10325805,73;6691701,84;385977,85
2024;Nordeste;PB;Paraíba;Universidades Federais;UFPB - ETS;Escola Técnica de Saúde da UFPB;Emenda de Comissão;;;;249699,00;;
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;Discricionário;20080496,88;9078602,23;7744100,15;23249979,69;11001894,65;21194837,84
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;Emenda Individual;;;;210603,01;;700000,00
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;Financeiro;28000000,00;13774581,18;13774581,18;13774581,18;14225418,82;1879054,00
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;Obrigatório;157298678,37;88899561,32;86748626,26;88945845,83;68399117,05;36306511,63
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IFPE;Instituto Federal de Pernambuco;Discricionário;59664744,23;25501198,27;24451070,51;45330011,72;34163545,96;19669324,11
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IFPE;Instituto Federal de Pernambuco;Emenda Individual;200000,00;43600,00;;941777,22;156400,00;1150000,00
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IFPE;Instituto Federal de Pernambuco;Financeiro;51000000,00;34209634,20;34209634,20;34222588,42;16790365,80;23314557,00
2024;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IFPE;Instituto Federal de Pernambuco;Obrigatório;361360470,45;262743837,35;256601843,77;263226085,13;98616633,10;200571161,55
2024;Nordeste;PE;Pernambuco;Universidades Federais;UFRPE - CODAI;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Discricionário;1943379,13;1235933,07;1209734,06;2097022,20;707446,06;308401,08
2024;Nordeste;PE;Pernambuco;Universidades Federais;UFRPE - CODAI;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Emenda de Comissão;;;;1148,79;;
2024;Nordeste;PE;Pernambuco;Universidades Federais;UFRPE - CODAI;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Emenda de Relator;;;;111196,12;;
2024;Nordeste;PI;Piauí;"Institutos Federais, Cefet's e Colégio Pedro II";IFPI;Instituto Federal do Piauí;Discricionário;38169820,25;27206504,66;25250812,06;52278894,29;10963315,59;37751942,44
2024;Nordeste;PI;Piauí;"Institutos Federais, Cefet's e Colégio Pedro II";IFPI;Instituto Federal do Piauí;Emenda Individual;1199552,26;245898,00;;245898,00;953654,26;700447,74
2024;Nordeste;PI;Piauí;"Institutos Federais, Cefet's e Colégio Pedro II";IFPI;Instituto Federal do Piauí;Financeiro;72000000,00;33901406,36;33901406,36;33901406,36;38098593,64;1575873,00
