Ano;nomeUnidade;nomeUnidadeRecente;Sigla;Região;Estado;Tipo;siglaIES;Nome do Curso;nomeArea;gNP_CPC Contínuo;gNP_Enade;gNP_DocentesDoutores;gNP_DocentesMestres;gNP_IDD;gNP_Infraestrutura;gNP_OrgDidaticoPedagogica;gNP_OportunidadesAmpliacaoFormacao;gNP_RegimeTrabalho;gNB_DocentesDoutores;gNB_DocentesMestres;gNB_IDD;gNB_Infraestrutura;gNB_OrgDidaticoPedagogica;gNB_OportunidadesAmpliacaoFormacao;gNB_RegimeTrabalho;Cursos;Medida CPC
2016;Campus Joinville;Campus Joinville;IFSC;Sul;Santa Catarina;Nota Padronizada;IFSC;Gestão Hospitalar;Tecnologia em Gestão Hospitalar;2,4;2,7;0,2;2,4;2,7;2,6;1,2;2,7;5;0,05;0,58;0,5;5;5;4,6;1;1;2,44
2016;Campus Joinville;Campus Joinville;IFSC;Sul;Santa Catarina;Nota Bruta;IFSC;Gestão Hospitalar;Tecnologia em Gestão Hospitalar;2,4;2,7;0,2;2,4;2,7;2,6;1,2;2,7;5;0,05;0,58;0,5;5;5;4,6;1;1;2,44
2017;Campus Juazeiro do Norte;Campus Juazeiro do Norte;IFCE;Nordeste;Ceará;Nota Padronizada;IFCE;Engenharia Ambiental;Engenharia Ambiental;2,7;2,5;1,8;3,8;2,4;3;2,3;3;5;0,35;0,9;-0,5;5;4,8;4,6;1;1;2,74
2017;Campus Juazeiro do Norte;Campus Juazeiro do Norte;IFCE;Nordeste;Ceará;Nota Bruta;IFCE;Engenharia Ambiental;Engenharia Ambiental;2,7;2,5;1,8;3,8;2,4;3;2,3;3;5;0,35;0,9;-0,5;5;4,8;4,6;1;1;2,74
2017;Campus Juiz de Fora;Campus Juiz de Fora;IFSUDESTEMG;Sudeste;Minas Gerais;Nota Padronizada;IFSEMG;Engenharia Mecatrônica;Engenharia de Controle e Automação;2,5;2,3;0;5;2,5;2,8;2,6;3,6;5;0;1;-0,5;4,7;4,6;4,8;1;1;2,55
2017;Campus Juiz de Fora;Campus Juiz de Fora;IFSUDESTEMG;Sudeste;Minas Gerais;Nota Bruta;IFSEMG;Engenharia Mecatrônica;Engenharia de Controle e Automação;2,5;2,3;0;5;2,5;2,8;2,6;3,6;5;0;1;-0,5;4,7;4,6;4,8;1;1;2,55
2016;Campus Júlio de Castilhos;Campus Júlio de Castilhos;IF FARROUPILHA;Sul;Rio Grande do Sul;Nota Padronizada;IFFarroupilha;Gestão do Agronegócio;Tecnologia em Agronegócios;3,4;3,3;4,4;4,6;2,9;2,4;2,5;3;5;0,6;0,94;0,5;5,1;5,2;4,6;1;1;3,48
2016;Campus Júlio de Castilhos;Campus Júlio de Castilhos;IF FARROUPILHA;Sul;Rio Grande do Sul;Nota Bruta;IFFarroupilha;Gestão do Agronegócio;Tecnologia em Agronegócios;3,4;3,3;4,4;4,6;2,9;2,4;2,5;3;5;0,6;0,94;0,5;5,1;5,2;4,6;1;1;3,48
2016;Campus Limoeiro do Norte;Campus Limoeiro do Norte;IFCE;Nordeste;Ceará;Nota Padronizada;IFCE;Agronomia;Agronomia;3;3,7;1,4;2,6;3,4;2,6;2;2,2;5;0,3;0,8;0,5;4,6;5;4,2;1;1;3,09
2016;Campus Limoeiro do Norte;Campus Limoeiro do Norte;IFCE;Nordeste;Ceará;Nota Bruta;IFCE;Agronomia;Agronomia;3;3,7;1,4;2,6;3,4;2,6;2;2,2;5;0,3;0,8;0,5;4,6;5;4,2;1;1;3,09
2016;Campus Limoeiro do Norte;Campus Limoeiro do Norte;IFCE;Nordeste;Ceará;Nota Padronizada;IFCE;Nutrição;Nutrição;2,3;3,2;1;2;2,2;1,8;0,5;2,2;5;0,2;0,72;-0,5;4,7;4,8;4,2;1;1;2,35
2016;Campus Limoeiro do Norte;Campus Limoeiro do Norte;IFCE;Nordeste;Ceará;Nota Bruta;IFCE;Nutrição;Nutrição;2,3;3,2;1;2;2,2;1,8;0,5;2,2;5;0,2;0,72;-0,5;4,7;4,8;4,2;1;1;2,35
2017;Campus Macaé;Campus Macaé;IFF;Sudeste;Rio de Janeiro;Nota Padronizada;IF Fluminense;Engenharia de Controle e Automação;Engenharia de Controle e Automação;2,5;2,6;1;1,6;2,5;2,4;2,5;3,4;5;0,25;0,74;-0,5;4,6;4,6;4,6;1;1;2,5
2017;Campus Macaé;Campus Macaé;IFF;Sudeste;Rio de Janeiro;Nota Bruta;IF Fluminense;Engenharia de Controle e Automação;Engenharia de Controle e Automação;2,5;2,6;1;1,6;2,5;2,4;2,5;3,4;5;0,25;0,74;-0,5;4,6;4,6;4,6;1;1;2,5
2016;Campus Machado;Campus Machado;IFSULDEMINAS;Sudeste;Minas Gerais;Nota Padronizada;IF SUL DE MINAS;Agronomia;Agronomia;2,9;2,6;2,2;3,8;2,8;3;2,1;3,3;5;0,5;0,9;-0,5;4,9;5;5;1;1;2,95
2016;Campus Machado;Campus Machado;IFSULDEMINAS;Sudeste;Minas Gerais;Nota Bruta;IF SUL DE MINAS;Agronomia;Agronomia;2,9;2,6;2,2;3,8;2,8;3;2,1;3,3;5;0,5;0,9;-0,5;4,9;5;5;1;1;2,95
2017;Campus Manaus Centro;Campus Manaus Centro;IFAM;Norte;Amazonas;Nota Padronizada;IFAM;Engenharia Mecânica;Engenharia Mecânica;1,9;1,5;0,4;0,6;1,6;3;3,5;3,7;5;0,05;0,64;-1;4,9;5,2;5;1;1;1,92
2017;Campus Manaus Centro;Campus Manaus Centro;IFAM;Norte;Amazonas;Nota Bruta;IFAM;Engenharia Mecânica;Engenharia Mecânica;1,9;1,5;0,4;0,6;1,6;3;3,5;3,7;5;0,05;0,64;-1;4,9;5,2;5;1;1;1,92
2016;Campus Arinos;Campus Arinos;IFNMG;Sudeste;Minas Gerais;Nota Padronizada;IFNMG;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,2;1;0,8;3,2;2,7;2;2,2;2,7;5;0,15;0,76;0,5;4,6;5;4,2;1;1;2,28
2016;Campus Arinos;Campus Arinos;IFNMG;Sudeste;Minas Gerais;Nota Bruta;IFNMG;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,2;1;0,8;3,2;2,7;2;2,2;2,7;5;0,15;0,76;0,5;4,6;5;4,2;1;1;2,28
2017;Campus Manaus Distrito Industrial;Campus Manaus Distrito Industrial;IFAM;Norte;Amazonas;Nota Padronizada;IFAM;Engenharia de Controle e Automação;Engenharia de Controle e Automação;2,8;2,5;1,6;3,8;3;1,4;1,8;3,2;5;0,35;0,92;1;4;4,2;4,4;1;1;2,81
2017;Campus Manaus Distrito Industrial;Campus Manaus Distrito Industrial;IFAM;Norte;Amazonas;Nota Bruta;IFAM;Engenharia de Controle e Automação;Engenharia de Controle e Automação;2,8;2,5;1,6;3,8;3;1,4;1,8;3,2;5;0,35;0,92;1;4;4,2;4,4;1;1;2,81
2017;Campus Maracanaú;Campus Maracanaú;IFCE;Nordeste;Ceará;Nota Padronizada;IFCE;Engenharia Ambiental e Sanitária;Engenharia Ambiental;2,8;3,3;1,4;3,8;2,5;2,6;1,8;2,5;5;0,3;0,9;-0,5;4,8;4,6;4,4;1;1;2,81
2017;Campus Maracanaú;Campus Maracanaú;IFCE;Nordeste;Ceará;Nota Bruta;IFCE;Engenharia Ambiental e Sanitária;Engenharia Ambiental;2,8;3,3;1,4;3,8;2,5;2,6;1,8;2,5;5;0,3;0,9;-0,5;4,8;4,6;4,4;1;1;2,81
2016;Campus Marechal Deodoro;Campus Marechal Deodoro;IFAL;Nordeste;Alagoas;Nota Padronizada;IFAL;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,5;1,8;2,4;4,2;2,4;1,8;1,3;2,8;5;0,5;0,9;-0,5;4,4;4,6;4,4;1;1;2,56
2016;Campus Marechal Deodoro;Campus Marechal Deodoro;IFAL;Nordeste;Alagoas;Nota Bruta;IFAL;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,5;1,8;2,4;4,2;2,4;1,8;1,3;2,8;5;0,5;0,9;-0,5;4,4;4,6;4,4;1;1;2,56
2017;Campus São Luís Monte Castelo;Campus São Luís Monte Castelo;IFMA;Nordeste;Maranhão;Nota Padronizada;IFMA;Engenharia Civil;Engenharia Civil;2,3;2,8;1,8;2,2;1,4;2,2;2,3;3,9;5;0,35;0,66;-1,5;4,5;4,6;5,2;1;1;2,3
